ticker,success,train_accuracy,test_accuracy,test_f1,ml_return,bh_return,excess_return,win_rate,num_trades,train_samples,test_samples
NVDA,True,0.86,0.38461538461538464,0.5555555555555556,-2.0695179446208134,0.3812526070751776,-2.450770551695991,41.66666666666667,12,50,13
INTC,True,0.7894736842105263,0.4,0.0,-5.724424304031461,2.1146119277651643,-7.839036231796626,0.0,1,57,15
TSLA,True,0.8166666666666667,0.4,0.4,-1.9461087349355366,-1.7278565833448667,-0.2182521515906699,37.5,8,60,15
AMZN,True,0.8888888888888888,0.5833333333333334,0.2857142857142857,0.2915110187155401,-14.653727836085173,14.945238854800714,33.33333333333333,3,45,12
AAPL,True,0.9565217391304348,0.5,0.5714285714285714,-0.616069527321117,2.5703433530855024,-3.1864128804066194,50.0,4,23,6
NFLX,True,0.8157894736842105,0.6,0.0,-2.2837111416905587,-13.064406654587524,10.780695512896965,0.0,1,38,10
MSFT,True,0.9411764705882353,0.5555555555555556,0.0,0.0,-8.394295430494413,8.394295430494413,0.0,0,34,9
AMD,True,0.875,0.4666666666666667,0.42857142857142855,8.749889089754138,-4.481218246399399,13.231107336153537,50.0,6,56,15
MU,True,0.875,0.5625,0.2222222222222222,0.0,7.91627064196061,-7.91627064196061,0.0,1,64,16
GOOGL,True,0.9024390243902439,0.45454545454545453,0.5714285714285714,-5.797556393426328,-6.888442825472108,1.0908864320457798,30.0,10,41,11
