Ticker,Avg_Volume_30d,Current_Price,Dollar_Volume
NVDA,174623184.21052632,182.80999755859375,31922863879.200184
INTC,137387431.57894737,46.790000915527344,6428358049.360897
TSLA,62170547.368421055,417.44000244140625,25952473445.257248
AMZN,61355015.78947368,198.7899932861328,12196763176.860046
AAPL,59127984.21052632,255.77999877929688,15123755729.190706
NFLX,55756363.15789474,76.87000274658203,4285991789.086794
MSFT,46652452.631578945,401.32000732421875,18722562631.79803
AMD,42968505.2631579,207.32000732421875,8908230825.868628
MU,41699189.473684214,411.6600036621094,17165888491.443836
GOOGL,40229673.684210524,305.7200012207031,12299015887.84533
