ticker,current_price,day_return,day_range,volume_spike,recent_1h_return,surge_score,data_points
COIN,164.27999877929688,9.549207404847015,14.703058084245303,924.9476899983453,-1.2383715191612854,73.0105592148039,390
PINS,15.40999984741211,6.489577653326739,11.88583443607667,1028.1562832312275,1.7685631488798093,63.4607516840882,390
RIVN,17.72450065612793,2.989550255813045,12.340417538887305,1315.119687460924,-3.0653497181379885,59.08775139716403,390
CEG,288.3999938964844,5.305436534980612,8.220546423784224,473.705098187749,-1.1854970289641997,54.71993824908387,390
ROKU,90.08499908447266,-3.17605524718082,11.515234934937425,1180.749667722216,0.4628091044960758,54.31917655351189,390
MARA,7.914999961853027,3.465404824770024,10.457961182522247,459.5488719457396,-0.6526929299180417,53.59679081820048,390
HOOD,75.94999694824219,5.158513900950323,7.7673469792684635,273.5852642779372,0.17805777549142476,52.23513493404048,390
AMAT,354.8900146484375,-4.031902011007782,6.5249355023971,839.6094054695998,-0.7633746731234736,48.99626928529643,390
ARM,125.33999633789062,4.441291648015944,6.449458160004151,162.64134826479057,0.18375538489017185,48.83240361337337,389
SHOP,112.66999816894531,4.469169923985472,5.547797698540569,245.10175734067158,0.5084743109571077,48.02274786221746,390
MU,411.739990234375,2.7705374128544236,7.154133660279638,327.6222520834772,-0.627483503460613,47.21350057131922,390
PLTR,131.42999267578125,3.8356672680974535,5.804764617619762,419.2885839738747,-0.19744077819474626,46.67464262991667,390
DKNG,21.7549991607666,1.825412561790185,8.448356017103853,994.7428663636031,0.16114110735994114,46.56507081027606,390
FSLR,225.58999633789062,3.2543027963156224,5.622331164117611,558.3566417270331,-0.7566764502998868,46.07711701425749,387
ABNB,121.37000274658203,-3.244578775199991,6.120236225973641,796.7528184799323,0.012359926853866554,45.68805177964124,390
CRWD,429.82000732421875,3.919125672093382,4.8901039617978315,381.2502098581,-0.04650520779553302,45.24316509857681,390
CSCO,76.9000015258789,3.276930528347366,5.284670361723931,497.69164851485505,-0.2896608650078125,44.91535789679235,390
MRNA,42.22999954223633,0.16603343234715684,8.658742989233081,473.3695035277853,-0.9819745339207708,44.79314314942509,390
SEDG,35.540000915527344,2.1998543668765524,6.180112763710044,194.35149094407853,0.5659331128350598,44.51877754857076,367
MPC,203.22000122070312,3.816092577626118,4.375480174409319,320.1330280762822,0.07386314624242551,44.306200136229855,332
