date,action,price,shares,capital,profit,profit_pct
2025-11-14,BUY,404.3500061035156,24.73104945975925,10000.0,,
2025-11-17,SELL,408.9200134277344,24.73104945975925,10113.021077166715,113.02107716671526,1.1302107716671526
2025-11-21,BUY,391.0899963378906,25.858552179456293,10113.021077166715,,
2025-11-26,SELL,426.5799865722656,25.858552179456293,11030.740841490695,917.7197643239797,9.074635139404752
2025-11-28,BUY,430.1700134277344,25.642747046904013,11030.740841490695,,
2025-12-04,SELL,454.5299987792969,25.642747046904013,11655.3977839271,624.6569424364043,5.662873885014491
2025-12-04,BUY,454.5299987792969,25.642747046904013,11655.3977839271,,
2025-12-05,SELL,455.0,25.642747046904013,11667.449906341326,12.052122414226687,0.10340378456106128
2025-12-08,BUY,439.5799865722656,26.54226821680662,11667.449906341326,,
2025-12-10,SELL,451.4500122070313,26.54226821680662,11982.507310479647,315.05740413832063,2.7003107505701407
2025-12-11,BUY,446.8900146484375,26.813101473986006,11982.507310479647,,
2025-12-16,SELL,489.8800048828125,26.813101473986006,13135.20228099961,1152.694970519964,9.619814456627466
2025-12-16,BUY,489.8800048828125,26.813101473986002,13135.20228099961,,
2025-12-22,SELL,488.7300109863281,26.813101473986002,13104.36737795871,-30.834903040900826,-0.23475011942148974
2026-01-02,BUY,438.0700073242188,29.913865726625907,13104.36737795871,,
2026-01-05,SELL,451.6700134277344,29.913865726625907,13511.196134420567,406.82875646185676,3.104528015187782
2026-01-06,BUY,432.9599914550781,31.206569662505235,13511.196134420567,,
2026-01-08,SELL,435.7999877929688,31.206569662505235,13599.822677980212,88.62654355964514,0.6559489084305705
2026-01-20,BUY,419.25,32.4384559999528,13599.822677980212,,
2026-01-23,SELL,449.05999755859375,32.4384559999528,14566.812972143356,966.9902941631444,7.110315458221532
2026-01-26,BUY,435.2000122070313,33.47153622140456,14566.812972143356,,
2026-01-27,SELL,430.8999938964844,33.47153622140456,14422.88475350918,-143.9282186341752,-0.9880556502607286
2026-01-29,BUY,416.55999755859375,34.6237873008448,14422.88475350918,,
2026-01-30,SELL,430.4100036621094,34.6237873008448,14902.424418952707,479.53966544352625,3.324852646602831
2026-02-02,BUY,421.80999755859375,35.32970888600763,14902.424418952707,,
2026-02-03,SELL,421.9599914550781,35.32970888600763,14907.723659650177,5.299240697469941,0.03555958781264098
2026-02-04,BUY,406.010009765625,36.7176259232029,14907.723659650177,,
2026-02-04,SELL,406.010009765625,36.7176259232029,14907.723659650175,-1.8189894035458565e-12,-1.22016576445484e-14
2026-02-05,BUY,397.2099914550781,37.53108929873468,14907.723659650175,,
2026-02-05,SELL,397.2099914550781,37.53108929873468,14907.723659650175,0.0,0.0
2026-02-06,BUY,411.1099853515625,36.26212982129775,14907.723659650175,,
2026-02-06,SELL (종료),411.1099853515625,36.26212982129775,14907.723659650175,0.0,0.0
